date,region_id,acquisition_time,time_source,time_quality,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3600.0,3700.0,3650.0,2,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,1900.0,2000.0,1950.0,15,3,0.2,0.3604166666666667,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2000.0,2100.0,2050.0,48,25,0.5208333333333334,0.4909090909090909,False,0.5,0.39272727272727276,False
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2100.0,2200.0,2150.0,55,27,0.4909090909090909,0.4909090909090909,False,0.5,0.39272727272727276,False
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2200.0,2300.0,2250.0,64,22,0.34375,0.34375,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2300.0,2400.0,2350.0,111,35,0.3153153153153153,0.3153153153153153,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2400.0,2500.0,2450.0,140,23,0.16428571428571428,0.16428571428571428,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2500.0,2600.0,2550.0,166,15,0.09036144578313253,0.09036144578313253,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2600.0,2700.0,2650.0,193,8,0.04145077720207254,0.04145077720207254,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2700.0,2800.0,2750.0,217,1,0.004608294930875576,0.004608294930875576,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2800.0,2900.0,2850.0,220,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,2900.0,3000.0,2950.0,265,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3000.0,3100.0,3050.0,219,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3100.0,3200.0,3150.0,122,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3200.0,3300.0,3250.0,83,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3300.0,3400.0,3350.0,57,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3400.0,3500.0,3450.0,27,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3500.0,3600.0,3550.0,8,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,S,3600.0,3700.0,3650.0,2,0,0.0,0.0,False,0.5,0.39272727272727276,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2000.0,2100.0,2050.0,1,0,0.0,0.041666666666666664,False,0.5,0.03333333333333333,False
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2100.0,2200.0,2150.0,12,1,0.08333333333333333,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2200.0,2300.0,2250.0,20,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2300.0,2400.0,2350.0,18,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2400.0,2500.0,2450.0,20,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2500.0,2600.0,2550.0,52,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2600.0,2700.0,2650.0,91,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2700.0,2800.0,2750.0,129,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2800.0,2900.0,2850.0,196,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,2900.0,3000.0,2950.0,160,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,3000.0,3100.0,3050.0,113,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,3100.0,3200.0,3150.0,98,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,3200.0,3300.0,3250.0,83,0,0.0,0.0,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,3300.0,3400.0,3350.0,33,1,0.030303030303030304,0.030303030303030304,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,3400.0,3500.0,3450.0,12,1,0.08333333333333333,0.030303030303030304,False,0.5,0.03333333333333333,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,W,3500.0,3600.0,3550.0,2,0,0.0,0.041666666666666664,False,0.5,0.03333333333333333,False
