date,temp,precip,rel_hum,air_pres
2023-03-11 05:00:00,272.916666666667,0.0,85.6666666666667,847.066666666667
2023-03-11 06:00:00,272.483333333333,0.0,85.2,847.366666666667
2023-03-11 07:00:00,271.966666666667,0.0,87.3333333333333,847.4
2023-03-11 08:00:00,272.216666666667,0.0,86.2666666666667,847.783333333334
2023-03-11 09:00:00,274.166666666667,0.0,66.85,848.266666666667
2023-03-11 10:00:00,275.633333333333,0.0,57.8166666666667,848.85
2023-03-11 11:00:00,276.733333333333,0.0,52.4333333333333,849.133333333333
2023-03-11 12:00:00,277.75,0.0,46.5333333333333,849.266666666667
2023-03-11 13:00:00,278.5,0.0,44.75,849.166666666667
2023-03-11 14:00:00,279.083333333333,0.0,43.7166666666667,848.883333333333
2023-03-11 15:00:00,278.883333333333,0.0,42.35,848.833333333333
2023-03-11 16:00:00,278.616666666667,0.0,43.5333333333333,849.15
2023-03-11 17:00:00,277.383333333333,0.0,49.35,849.6
2023-03-11 18:00:00,276.733333333333,0.0,52.6333333333333,850.316666666667
2023-03-11 19:00:00,274.8,0.0,64.8166666666667,851.033333333333
2023-03-11 20:00:00,274.2,0.0,67.75,852.0
2023-03-11 21:00:00,274.166666666667,0.0,68.75,852.766666666667
2023-03-11 22:00:00,273.916666666667,0.0,72.0166666666667,853.316666666667
2023-03-11 23:00:00,273.733333333333,0.0,78.5666666666667,853.6
2023-03-12 00:00:00,273.25,0.0,85.3666666666667,853.983333333333
2023-03-12 01:00:00,272.966666666667,0.0,86.7833333333333,854.483333333334
2023-03-12 02:00:00,272.566666666667,0.0,88.9666666666667,854.9
2023-03-12 03:00:00,272.283333333333,0.0,88.5333333333333,855.016666666667
2023-03-12 04:00:00,272.216666666667,0.0,87.0,855.25
2023-03-12 05:00:00,272.533333333333,0.0,84.7,855.783333333333
2023-03-12 06:00:00,272.916666666667,0.0,89.8333333333333,856.183333333333
2023-03-12 07:00:00,272.683333333333,0.0,99.75,856.583333333333
2023-03-12 08:00:00,273.116666666667,0.0,98.5166666666667,857.083333333334
2023-03-12 09:00:00,274.633333333333,0.0,82.6666666666667,857.55
2023-03-12 10:00:00,276.05,0.0,72.45,857.783333333333
2023-03-12 11:00:00,277.166666666667,0.0,65.65,857.9
2023-03-12 12:00:00,277.933333333333,0.0,64.85,858.466666666667
2023-03-12 13:00:00,278.8,0.0,61.6,858.75
2023-03-12 14:00:00,279.333333333333,0.0,57.5833333333333,858.833333333334
2023-03-12 15:00:00,279.933333333333,0.0,51.9166666666667,859.05
2023-03-12 16:00:00,280.083333333333,0.0,51.5166666666667,859.45
2023-03-12 17:00:00,279.483333333333,0.0,56.6,859.516666666667
2023-03-12 18:00:00,276.85,0.0,72.0833333333333,859.8
2023-03-12 19:00:00,275.45,0.0,78.7,860.5
2023-03-12 20:00:00,274.716666666667,0.0,80.6333333333333,861.166666666667
2023-03-12 21:00:00,274.0,0.0,84.1333333333333,861.85
2023-03-12 22:00:00,273.65,0.0,85.6666666666667,862.133333333333
