date,temp,sw_in,rel_hum,hs
2023-02-13 07:00:00,270.533333333333,0.0,20.5,678.833333333333
2023-02-13 08:00:00,270.333333333333,16.1666666666667,21.0,679.333333333333
2023-02-13 09:00:00,271.833333333333,142.833333333333,18.5,668.833333333333
2023-02-13 10:00:00,273.466666666667,300.166666666667,15.6666666666667,660.5
2023-02-13 11:00:00,274.6,436.833333333333,11.5,647.666666666667
2023-02-13 12:00:00,274.6,530.666666666667,11.5,646.833333333333
2023-02-13 13:00:00,275.3,571.5,8.83333333333333,644.666666666667
2023-02-13 14:00:00,274.333333333333,552.0,12.1666666666667,646.833333333333
2023-02-13 15:00:00,274.083333333333,475.666666666667,13.5,648.333333333333
2023-02-13 16:00:00,274.083333333333,260.5,12.6666666666667,650.333333333333
2023-02-13 17:00:00,273.583333333333,160.0,9.83333333333333,659.5
2023-02-13 18:00:00,272.016666666667,6.0,12.6666666666667,674.166666666667
2023-02-13 19:00:00,271.833333333333,0.0,11.0,677.333333333333
2023-02-13 20:00:00,271.95,0.0,9.0,678.333333333333
2023-02-13 21:00:00,272.116666666667,0.0,9.16666666666667,674.666666666667
2023-02-13 22:00:00,271.866666666667,0.0,14.8333333333333,670.166666666667
2023-02-13 23:00:00,271.366666666667,0.0,22.1666666666667,663.333333333333
2023-02-14 00:00:00,270.166666666667,0.0,28.5,666.166666666667
2023-02-14 01:00:00,269.316666666667,0.0,29.1666666666667,665.333333333333
2023-02-14 02:00:00,268.9,0.0,24.6666666666667,669.333333333333
2023-02-14 03:00:00,271.45,0.0,14.3333333333333,678.5
2023-02-14 04:00:00,271.616666666667,0.0,15.3333333333333,672.5
2023-02-14 05:00:00,269.25,0.0,21.1666666666667,665.333333333334
2023-02-14 06:00:00,269.066666666667,0.0,19.8333333333333,669.166666666667
2023-02-14 07:00:00,268.233333333333,0.0,21.1666666666667,664.833333333333
2023-02-14 08:00:00,268.933333333333,17.6666666666667,18.6666666666667,673.333333333333
2023-02-14 09:00:00,270.283333333333,148.166666666667,14.5,661.5
2023-02-14 10:00:00,272.1,307.166666666667,14.3333333333333,639.5
2023-02-14 11:00:00,273.983333333333,445.166666666667,12.8333333333333,618.5
2023-02-14 12:00:00,274.35,539.333333333333,14.5,626.5
2023-02-14 13:00:00,274.7,579.5,16.3333333333333,628.833333333333
