date,sw_in,hs,rel_hum,temp,wind_dir,wind_speed
2023-04-21 23:00:00,0.0,920.833333333333,69.9333333333333,273.9,,
2023-04-22 00:00:00,0.166666666666667,921.0,70.5833333333333,273.616666666667,,
2023-04-22 01:00:00,0.0,921.333333333333,68.6166666666667,273.433333333333,,
2023-04-22 02:00:00,0.166666666666667,920.5,67.75,273.483333333333,,
2023-04-22 03:00:00,0.0,921.0,71.2666666666667,273.116666666667,,
2023-04-22 04:00:00,0.166666666666667,918.166666666667,65.6666666666667,272.916666666667,,
2023-04-22 05:00:00,0.0,917.833333333333,65.6666666666667,272.833333333333,,
2023-04-22 06:00:00,8.0,917.5,65.1333333333334,273.0,,
2023-04-22 07:00:00,27.8333333333333,916.5,59.5333333333333,273.05,,
2023-04-22 08:00:00,127.666666666667,908.833333333333,51.8666666666667,274.15,,
2023-04-22 09:00:00,311.833333333333,886.166666666667,41.1166666666667,278.133333333333,,
2023-04-22 10:00:00,334.666666666667,871.666666666667,37.9,280.866666666667,,
2023-04-22 11:00:00,354.666666666667,890.0,38.15,280.616666666667,,
2023-04-22 12:00:00,435.833333333333,887.166666666667,34.1833333333333,281.85,,
2023-04-22 13:00:00,443.5,888.0,32.2,283.416666666667,,
2023-04-22 14:00:00,442.333333333333,874.666666666667,33.8166666666667,284.316666666667,,
2023-04-22 15:00:00,409.5,860.0,29.8166666666667,286.083333333333,,
2023-04-22 16:00:00,351.166666666667,857.0,31.6666666666667,285.383333333333,,
2023-04-22 17:00:00,245.166666666667,865.666666666667,40.2333333333333,282.8,,
2023-04-22 18:00:00,77.8333333333333,863.5,47.2833333333333,280.766666666667,,
2023-04-22 19:00:00,24.5,874.833333333333,49.1833333333333,279.866666666667,,
2023-04-22 20:00:00,1.33333333333333,874.333333333334,48.5166666666667,279.566666666667,,
2023-04-22 21:00:00,0.0,874.833333333334,56.6666666666667,278.466666666667,,
2023-04-22 22:00:00,0.0,876.333333333333,60.3333333333333,277.8,,
2023-04-22 23:00:00,0.0,876.666666666667,63.95,277.166666666667,,
2023-04-23 00:00:00,0.0,876.166666666667,72.0166666666667,276.8,,
2023-04-23 01:00:00,0.0,872.666666666667,75.1666666666667,276.766666666667,,
2023-04-23 02:00:00,0.0,871.833333333333,75.8333333333333,276.233333333333,,
2023-04-23 03:00:00,0.0,872.0,78.05,276.05,,
2023-04-23 04:00:00,0.0,871.666666666667,79.6666666666667,276.016666666667,,
2023-04-23 05:00:00,0.166666666666667,875.5,83.3666666666667,275.766666666667,,
2023-04-23 06:00:00,5.16666666666667,871.166666666667,84.85,275.633333333333,,
2023-04-23 07:00:00,27.8333333333333,867.833333333334,87.1333333333333,275.6,,
2023-04-23 08:00:00,69.8333333333333,864.833333333333,83.4666666666667,276.183333333333,,
2023-04-23 09:00:00,252.833333333333,856.833333333333,72.25,278.216666666667,,
2023-04-23 10:00:00,188.166666666667,842.833333333333,67.4833333333333,278.933333333333,,
2023-04-23 11:00:00,255.5,849.166666666667,62.1166666666667,279.616666666667,,
2023-04-23 12:00:00,424.833333333333,835.5,52.15,281.25,,
2023-04-23 13:00:00,303.5,832.666666666667,41.5,282.616666666667,,
2023-04-23 14:00:00,255.0,831.166666666667,44.2333333333333,282.466666666667,,
2023-04-23 15:00:00,135.166666666667,825.166666666667,56.3333333333333,280.233333333333,,
2023-04-23 16:00:00,152.5,817.666666666667,57.1833333333333,280.033333333333,,
2023-04-23 17:00:00,151.5,817.0,59.4333333333333,280.033333333333,,
2023-04-23 18:00:00,61.5,828.0,60.0333333333333,279.383333333333,,
2023-04-23 19:00:00,23.0,832.833333333334,60.3166666666667,278.983333333333,,
2023-04-23 20:00:00,0.833333333333333,835.333333333333,64.0166666666667,277.483333333333,,
2023-04-23 21:00:00,0.0,829.166666666667,65.2333333333333,277.083333333333,,
2023-04-23 22:00:00,0.0,822.0,63.4,277.0,,
2023-04-23 23:00:00,0.0,823.833333333334,67.4666666666667,276.65,,
2023-04-24 00:00:00,0.0,828.0,83.5833333333333,275.766666666667,,
2023-04-24 01:00:00,0.0,826.333333333333,97.4833333333333,273.216666666667,,
2023-04-24 02:00:00,0.0,856.0,97.7333333333333,271.966666666667,,
2023-04-24 03:00:00,0.0,879.0,97.8,271.433333333333,,
2023-04-24 04:00:00,0.0,881.666666666667,97.8,271.35,,
2023-04-24 05:00:00,0.0,924.333333333333,97.8,271.35,,
2023-04-24 06:00:00,0.0,958.5,97.8,271.35,,
2023-04-24 07:00:00,3.33333333333333,968.0,97.8,271.6,,
2023-04-24 08:00:00,10.5,965.5,97.8166666666667,272.383333333333,,
2023-04-24 09:00:00,19.0,959.5,97.5833333333333,272.966666666667,,
2023-04-24 10:00:00,30.6666666666667,943.5,96.2166666666667,273.566666666667,,
2023-04-24 11:00:00,59.8333333333333,914.833333333333,89.75,274.333333333333,,
2023-04-24 12:00:00,104.833333333333,865.833333333334,83.8333333333333,274.866666666667,,
2023-04-24 13:00:00,387.333333333333,882.5,65.2,276.233333333333,,
2023-04-24 14:00:00,435.0,885.666666666667,51.7166666666667,277.6,,
2023-04-24 15:00:00,390.0,862.666666666667,54.3,276.733333333333,,
2023-04-24 16:00:00,238.666666666667,844.5,55.8666666666667,275.266666666667,,
2023-04-24 17:00:00,238.0,814.166666666667,53.4166666666667,276.316666666667,,
2023-04-24 18:00:00,93.0,853.333333333333,59.6,273.733333333333,,
2023-04-24 19:00:00,32.0,862.0,63.7666666666667,272.733333333333,,
2023-04-24 20:00:00,0.833333333333333,857.0,71.8333333333333,271.5,,
2023-04-24 21:00:00,0.0,857.333333333333,69.4166666666667,271.433333333333,,
2023-04-24 22:00:00,0.0,853.0,72.7166666666667,271.416666666667,,
2023-04-24 23:00:00,0.0,851.333333333333,67.4833333333333,271.466666666667,,
2023-04-25 00:00:00,0.0,851.833333333333,76.6666666666667,270.816666666667,,
2023-04-25 01:00:00,0.0,852.666666666667,83.8,270.5,,
2023-04-25 02:00:00,0.0,851.333333333333,89.6833333333333,270.233333333333,,
2023-04-25 03:00:00,0.166666666666667,853.833333333333,90.3166666666667,270.15,,
2023-04-25 04:00:00,0.0,853.0,97.35,269.766666666667,,
2023-04-25 05:00:00,0.0,830.333333333333,97.0666666666667,269.366666666667,,
2023-04-25 06:00:00,3.33333333333333,835.0,91.75,269.166666666667,,
2023-04-25 07:00:00,28.1666666666667,844.666666666667,83.1,269.633333333333,,
2023-04-25 08:00:00,72.8333333333333,856.0,83.5833333333333,270.933333333333,,
2023-04-25 09:00:00,126.666666666667,870.166666666667,86.9333333333333,271.2,,
2023-04-25 10:00:00,207.333333333333,834.333333333333,78.65,272.933333333333,,
