date,temp,precip,sw_in,rel_hum,wind_dir,wind_speed,air_pres,hs
2023-01-20 20:00:00,260.5,0.0,0.383333333333333,59.2833333333333,21.1658441999277,3.06696551447992,766.666666666667,531.666666666667
2023-01-20 21:00:00,260.65,0.0,0.4,57.9833333333333,15.9120168108155,3.39001988677982,766.8,523.0
2023-01-20 22:00:00,260.683333333333,0.0,0.366666666666667,58.3833333333333,23.5495631842384,2.16075268199043,767.0,511.5
2023-01-20 23:00:00,260.666666666667,0.0,0.366666666666667,58.7166666666667,20.3989763928019,3.16213805783974,767.133333333333,501.833333333333
2023-01-21 00:00:00,260.7,0.0,0.35,56.4833333333333,11.0604147187372,2.45576342205494,767.316666666667,504.0
2023-01-21 01:00:00,260.6,0.0,0.383333333333333,56.65,20.0331484118589,1.70528724522432,767.316666666667,506.833333333333
2023-01-21 02:00:00,260.75,0.0,0.316666666666667,54.6666666666667,21.0810995005153,1.66163737630137,767.3,507.333333333333
2023-01-21 03:00:00,260.916666666667,0.0,0.2,49.4833333333333,188.586249520938,2.25610683451718,767.3,507.333333333333
2023-01-21 04:00:00,260.933333333333,0.0,0.183333333333333,48.7166666666667,208.631994002297,3.06853896181828,767.166666666667,515.833333333333
2023-01-21 05:00:00,260.85,0.0,0.283333333333333,50.7166666666667,184.648101006823,2.45448159440357,766.816666666667,523.0
2023-01-21 06:00:00,260.766666666667,0.0,0.283333333333333,54.3166666666667,2.46991718563413,0.552742006375585,766.5,518.333333333333
2023-01-21 07:00:00,260.633333333333,0.0,0.383333333333333,58.1166666666667,20.4630690659905,3.05157253964798,766.433333333333,509.166666666667
2023-01-21 08:00:00,260.633333333333,0.0,1.56666666666667,59.5833333333333,30.7619964837547,2.68931688881135,766.75,495.833333333333
2023-01-21 09:00:00,260.75,0.0,46.9666666666667,59.25,79.1588509324079,1.3357955574382,767.2,488.5
2023-01-21 10:00:00,261.466666666667,0.0,161.5,51.75,163.640548793727,1.0139024546549,767.466666666667,482.5
2023-01-21 11:00:00,262.283333333333,0.0,262.816666666667,50.0333333333333,194.416858077475,3.05215563814034,767.55,504.333333333333
2023-01-21 12:00:00,262.383333333333,0.0,248.516666666667,52.2666666666667,206.86731858094,6.05040028108512,767.4,524.5
2023-01-21 13:00:00,262.616666666667,0.0,196.683333333333,53.15,207.213910366597,6.89316818924129,767.216666666667,544.333333333333
2023-01-21 14:00:00,263.066666666667,0.0,204.6,54.1333333333333,223.730082643358,4.60897549841412,766.983333333333,516.333333333333
2023-01-21 15:00:00,263.4,0.0,183.333333333333,56.0833333333333,216.503943555795,4.40912005017528,767.066666666667,524.666666666667
2023-01-21 16:00:00,263.466666666667,0.0,93.25,56.6166666666667,238.309585235777,3.67116307559693,767.433333333333,571.5
2023-01-21 17:00:00,263.383333333333,0.0,30.8166666666667,58.6833333333333,239.191631220341,1.95728274895344,767.616666666667,552.666666666667
2023-01-21 18:00:00,263.466666666667,0.0,1.0,57.9333333333333,226.434498630041,4.71384245866015,767.916666666667,540.666666666667
2023-01-21 19:00:00,263.733333333333,0.0,0.266666666666667,54.9666666666667,208.950742704815,4.89386740151418,768.416666666667,515.0
2023-01-21 20:00:00,263.733333333333,0.0,0.283333333333333,55.1833333333333,221.685979695161,4.15957718091292,768.716666666667,501.833333333333
2023-01-21 21:00:00,262.5,0.0,0.316666666666667,63.9166666666667,9.81776500097806,1.85222601747236,769.0,499.5
2023-01-21 22:00:00,262.65,0.0,0.416666666666667,64.35,9.0189009761433,3.59545392865586,769.133333333333,503.333333333333
2023-01-21 23:00:00,262.983333333333,0.0,0.433333333333333,61.8666666666667,319.61596616457,2.82663653623132,769.2,498.666666666667
2023-01-22 00:00:00,262.866666666667,0.0,0.35,60.5833333333333,326.472832636607,0.684852549707463,769.416666666667,495.0
2023-01-22 01:00:00,262.416666666667,0.0,0.333333333333333,66.1666666666667,205.552506080168,1.68349991740615,769.5,495.166666666667
2023-01-22 02:00:00,262.85,0.0,0.416666666666667,61.6333333333333,296.911597492984,1.95217302977092,769.4,494.666666666667
2023-01-22 03:00:00,263.0,0.0,0.366666666666667,57.5166666666667,308.138366969372,1.66989806185022,769.416666666667,494.833333333333
2023-01-22 04:00:00,262.1,0.0,0.3,63.3333333333333,176.05571931905,1.15485807350121,769.6,493.833333333333
2023-01-22 05:00:00,261.35,0.0,0.266666666666667,65.2,158.9111172336,0.220995785935035,769.5,495.333333333333
2023-01-22 06:00:00,260.966666666667,0.0,0.433333333333333,68.6166666666667,20.9234843362494,0.231062405474019,769.733333333334,493.5
2023-01-22 07:00:00,261.083333333333,0.0,0.416666666666667,67.3,280.930088197556,0.118974548461997,769.966666666667,495.666666666667
