date,region_id,n_valid,n_snow,n_cloud,scf,cloud_fraction,tiles_used,source,unc_mean,unc_n_valid,unc_min,unc_max
2023-02-20,,122213,121681,0,0.9956469442694312,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_20.tif,10.108687291859296,122213,10.0,30.0
2023-02-22,,28591,28591,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_22.tif,10.0,28591,10.0,10.0
2023-02-25,,72120,70318,0,0.9750138657792567,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_25.tif,10.124603438747636,72120,10.0,30.0
2023-03-09,,6182,6164,0,0.9970883209317373,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_03_09.tif,11.067615658362989,6182,10.0,30.0
2023-03-17,,126250,126250,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_03_17.tif,10.086811881188119,126250,10.0,30.0
2023-03-19,,93833,91634,0,0.976564748009762,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_03_19.tif,10.166465955474086,93833,10.0,30.0
2023-03-22,,116377,109729,0,0.9428753104135696,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_03_22.tif,10.061257808673535,116377,10.0,30.0
2023-03-27,,2666,2666,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_03_27.tif,10.0,2666,10.0,10.0
2023-04-01,,22888,22888,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_04_01.tif,10.160782943026915,22888,10.0,30.0
2023-04-03,,68091,63054,0,0.9260254659206062,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_04_03.tif,10.26941299144353,68091,10.0,30.0
2023-04-06,,62897,57980,0,0.9218245703292685,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_04_06.tif,10.203558198321211,62897,10.0,30.0
2023-04-16,,17838,17838,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_04_16.tif,10.0,17838,10.0,10.0
2023-04-18,,151819,151818,0,0.9999934132091504,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_04_18.tif,10.158347769382022,151819,10.0,30.0
2023-04-26,,144345,137676,0,0.953798191832069,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_04_26.tif,10.11999030101493,144345,10.0,30.0
2023-05-03,,105625,101442,0,0.9603976331360947,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_05_03.tif,10.101981538472373,105625,10.0,30.0
2023-05-18,,25308,21871,0,0.86419314050893,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_05_18.tif,10.422206416973406,25308,10.0,30.0
2023-05-26,,88751,82727,0,0.9321247084539892,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_05_26.tif,10.141835021577222,88751,10.0,30.0
2023-06-02,,105490,70081,0,0.6643378519290928,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_06_02.tif,10.300123234429805,105490,10.0,30.0
2023-06-12,,104489,53948,0,0.5163031515279121,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_06_12.tif,10.328072811492119,104489,10.0,30.0
2023-06-15,,34968,20646,0,0.5904255319148937,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_06_15.tif,10.034460077785404,34968,10.0,30.0
2023-06-17,,59744,30170,0,0.5049879485806106,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_06_17.tif,10.262476566678135,59744,10.0,30.0
2023-06-20,,10569,10569,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_06_20.tif,10.0,10569,10.0,10.0
2023-06-25,,89502,10670,0,0.11921521306786441,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_06_25.tif,10.383008200934057,89502,10.0,30.0
